LS360,LS370,LS380,LS390,LS400,LS410,LS420,LS430,LS440,LS450,LS460,LS470,LS480,LS490,LS500,LS510,LS520,LS530,LS540,LS550,LS560,LS570,LS580,LS590,LS600,LS610,LS620,LS630,LS640,LS650,LS660,LS670,LS680,LS690,LS700,D31,D32,D33,D58,D100,D107,D110,D120,D128,D150,D160,D161,D162,D170,D180,D200,D202,D210,D220,D221,D260,D300,D301,D302,D303,D304,D306,D307,D308,D310,D311,D312,D314,D316,D317,D318,D320,D321,D324,D326,D327,D328,D350,D351,D355,D357,D358,D359,D360,D361,D362,D363,D366,D367,D368,D370,D372,D376,D377,D378,D380,D500,D501,D503,D504,D506,D508,D510,D511,D514,D516,D520,D524,D526,D527,D530,D551,D555,D560,D561,D565,D570,D575,D576,D580,D581,D980
22.75,24.37,24.245,23.675,23.168,22.685,22.405,22.227,22.112,22.28,22.685,23.117,23.411,23.714,23.991,24.008,23.755,23.496,23.05,22.154,21.587,21.714,22.202,22.426,22.568,22.605,22.635,22.897,23.641,25.373,27.8,32.377,40.826,46.162,54.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0.0112,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.0615,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0
22.75,24.37,24.245,23.675,23.168,22.685,22.405,22.227,22.112,22.28,22.685,23.117,23.411,23.714,23.991,24.008,23.755,23.496,23.05,22.154,21.587,21.714,22.202,22.426,22.568,22.605,22.635,22.897,23.641,25.373,27.8,32.377,40.826,46.162,54.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,0,0,0,0.0112,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0.0645,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0
9.657,10.268,9.281,7.871,6.922,6.207,5.856,5.668,5.589,5.634,5.783,5.978,6.185,6.452,6.775,7.034,7.25,7.402,7.46,7.46,7.468,7.485,7.554,7.568,7.569,7.53,7.545,7.764,8.436,9.907,12.013,16.019,24.348,29.657,37.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.0228,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0.19,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.949,3.631,3.312,3.122,3.054,3.007,3.012,3.018,3.031,3.083,3.192,3.311,3.427,3.571,3.697,3.717,3.64,3.514,3.304,3.08,2.904,2.801,2.797,2.826,2.888,2.964,3.06,3.259,3.596,4.226,5.152,7.166,12.467,17.012,24.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0.012,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.285,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.883,1.861,1.801,1.781,1.742,1.695,1.689,1.677,1.659,1.641,1.631,1.62,1.604,1.595,1.576,1.545,1.553,1.553,1.566,1.575,1.564,1.528,1.539,1.537,1.552,1.571,1.601,1.637,1.679,1.755,1.934,2.168,4.147,6.809,11.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.8,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0
1.883,1.861,1.801,1.781,1.742,1.695,1.689,1.677,1.659,1.641,1.631,1.62,1.604,1.595,1.576,1.545,1.553,1.553,1.566,1.575,1.564,1.528,1.539,1.537,1.552,1.571,1.601,1.637,1.679,1.755,1.934,2.168,4.147,6.809,11.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.8,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0
2.03,1.971,1.892,1.875,1.82,1.755,1.724,1.673,1.648,1.621,1.638,1.646,1.653,1.674,1.665,1.637,1.616,1.572,1.527,1.53,1.494,1.418,1.405,1.427,1.459,1.499,1.55,1.606,1.7,1.904,2.354,3.372,6.289,9.873,15.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.2,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0
2.03,1.971,1.892,1.875,1.82,1.755,1.724,1.673,1.648,1.621,1.638,1.646,1.653,1.674,1.665,1.637,1.616,1.572,1.527,1.53,1.494,1.418,1.405,1.427,1.459,1.499,1.55,1.606,1.7,1.904,2.354,3.372,6.289,9.873,15.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.2,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0
28.215,30.946,32.116,32.317,32.588,33.1,33.595,34.257,34.916,35.902,37.461,39.1,41.083,42.902,44.423,45.374,45.972,46.129,46.072,46.025,46.195,47.026,47.873,48.154,48.382,48.515,48.673,48.899,50.31,52.779,56.478,60.986,67.13,70.236,74.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0.0018,0,0,0,0,0,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0.0169,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.843,5.796,5.793,5.852,5.928,5.989,5.913,5.649,5.2,4.695,4.279,3.863,3.474,3.213,2.923,2.735,2.549,2.479,2.499,2.519,2.508,2.489,2.496,2.539,2.685,3.113,4.037,5.79,9.846,14.033,20.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.178,0,0,0,0.062,0,0,0,0,1.78,0,0,0,0,0,0.575,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
